description|Category|Subcategory|YAML Name|collector|Profiles|path|exclude_file_system|name_pattern|command|supported_os|max_depth|output_file|exclude_nologin_users|file_type|path_pattern|ignore_date_range|max_file_size|exclude_name_pattern|permissions|is_file_list|loop_command|output_directory|stderr_output_file|compress_output_file|exclude_path_pattern
Report file system disk space usage.|live_response|storage|df.yaml|command|full.yaml, ir_triage.yaml||||df -h|['android', 'freebsd', 'linux', 'macos', 'netbsd', 'netscaler', 'openbsd', 'solaris']||df_-h.txt|||||||||||||
List information about the file system name, the total space allocated in the file system, the amount of space allocated to existing files, the total amount of space available for the creation of new files by unprivileged users, and the percentage of normally available space that is currently allocated to all files on the file system.|live_response|storage|df.yaml|command|full.yaml, ir_triage.yaml||||df -n|['solaris']||df_-n.txt|||||||||||||
List disks, including internal and external disks, whole disks and partitions, and various kinds of virtual or offline disks.|live_response|storage|diskutil.yaml|command|full.yaml, ir_triage.yaml||||diskutil list|['macos']||diskutil_list.txt|||||||||||||
List the NAS volumes currently known to the ESX host.|live_response|storage|esxcli.yaml|command|full.yaml, ir_triage.yaml||||esxcli storage nfs list|['esxi']||esxcli_storage_nfs_list.txt|||||||||||||
List the NFS v4.1 volumes currently known to the ESX host.|live_response|storage|esxcli.yaml|command|full.yaml, ir_triage.yaml||||esxcli storage nfs41 list|['esxi']||esxcli_storage_nfs41_list.txt|||||||||||||
List the volumes available to the host. This includes VMFS, NAS, VFAT and UFS partitions.|live_response|storage|esxcli.yaml|command|full.yaml, ir_triage.yaml||||esxcli storage filesystem list|['esxi']||esxcli_storage_filesystem_list.txt|||||||||||||
List the partition tables for devices mentioned in /proc/partitions.|live_response|storage|fdisk.yaml|command|full.yaml, ir_triage.yaml||||fdisk -l|['linux']||fdisk_-l.txt|||||||||||||
List available disks.|live_response|storage|format.yaml|command|full.yaml, ir_triage.yaml||||"echo | format"|['solaris']||format.txt|||||||||||||
Report system calls and page faults related to filesystem activity in real-time.|live_response|storage|fs_usage.yaml|command|full.yaml, ir_triage.yaml||||fs_usage -e -w -t 60|['macos']||fs_usage_-e_-w_-t_60.txt|||||||||||||
Print the list of all providers from the DISK class.|live_response|storage|geom.yaml|command|full.yaml, ir_triage.yaml||||geom disk list|['freebsd']||geom_disk_list.txt|||||||||||||
Display geoms hierarchy asa tree.|live_response|storage|geom.yaml|command|full.yaml, ir_triage.yaml||||geom -t|['freebsd']||geom_-t.txt|||||||||||||
Print statistics about GEOM disks.|live_response|storage|gstat.yaml|command|full.yaml, ir_triage.yaml||||gstat -b|['freebsd']||gstat_-b.txt|||||||||||||
Reports I/O statistics.|live_response|storage|iostat.yaml|command|full.yaml, ir_triage.yaml||||iostat|['freebsd', 'solaris']||iostat.txt|||||||||||||
Reports I/O statistics.|live_response|storage|iostat.yaml|command|full.yaml, ir_triage.yaml||||iostat -l|['aix']||iostat_-l.txt|||||||||||||
Reports I/O statistics.|live_response|storage|iostat.yaml|command|full.yaml, ir_triage.yaml||||iostat -E -n|['solaris']||iostat_-E_-n.txt|||||||||||||
Display logical partition (LPAR) related information and statistics.|live_response|storage|lparstat.yaml|command|full.yaml, ir_triage.yaml||||lparstat -i|['aix']||lparstat_-i.txt|||||||||||||
List block devices.|live_response|storage|lsblk.yaml|command|full.yaml, ir_triage.yaml||||lsblk|['linux']||lsblk.txt|||||||||||||
List block devices.|live_response|storage|lsblk.yaml|command|full.yaml, ir_triage.yaml||||lsblk -l|['linux']||lsblk_-l.txt|||||||||||||
List block devices including information about filesystems.|live_response|storage|lsblk.yaml|command|full.yaml, ir_triage.yaml||||lsblk -f|['linux']||lsblk_-f.txt|||||||||||||
Displays the characteristics of file systems.|live_response|storage|lsfs.yaml|command|full.yaml, ir_triage.yaml||||lsfs|['aix']||lsfs.txt|||||||||||||
Displays information about a physical volume within a volume group.|live_response|storage|lspv.yaml|command|full.yaml, ir_triage.yaml||||lspv|['aix']||lspv.txt|||||||||||||
Displays information about volume groups.|live_response|storage|lsvg.yaml|command|full.yaml, ir_triage.yaml||||lsvg|['aix']||lsvg.txt|||||||||||||
Displays information about volume groups.|live_response|storage|lsvg.yaml|command|full.yaml, ir_triage.yaml||||"lsvg -o | lsvg -il"|['aix']||lsvg_-o_lsvg_-il.txt|||||||||||||
Display the mapping of logical volumes with physical disks.|live_response|storage|ls_vmfs_devices.yaml|command|full.yaml, ir_triage.yaml||||ls -l /vmfs/devices/disks|['esxi']||ls_-l_vmfs_devices_disks.txt|||||||||||||
Display information about logical volumes.|live_response|storage|lvdisplay.yaml|command|full.yaml, ir_triage.yaml||||lvdisplay|['linux']||lvdisplay.txt|||||||||||||
Display information about logical volumes.|live_response|storage|lvs.yaml|command|full.yaml, ir_triage.yaml||||lvs|['linux']||lvs.txt|||||||||||||
Lists all mounted filesystems.|live_response|storage|mount.yaml|command|full.yaml, ir_triage.yaml||||mount|['android', 'aix', 'freebsd', 'linux', 'openbsd', 'netbsd', 'netscaler', 'openbsd', 'solaris']||mount.txt|||||||||||||
List partition tables for all available drives.|live_response|storage|pdisk.yaml|command|full.yaml, ir_triage.yaml||||pdisk -l|['macos']||pdisk_-l.txt|||||||||||||
Display various attributes of physical volumes.|live_response|storage|pvdisplay.yaml|command|full.yaml, ir_triage.yaml||||pvdisplay|['linux']||pvdisplay.txt|||||||||||||
Display information about physical volumes.|live_response|storage|pvs.yaml|command|full.yaml, ir_triage.yaml||||pvs|['linux']||pvs.txt|||||||||||||
Display volume group information.|live_response|storage|vgdisplay.yaml|command|full.yaml, ir_triage.yaml||||vgdisplay|['linux']||vgdisplay.txt|||||||||||||
Display information about volume groups.|live_response|storage|vgs.yaml|command|full.yaml, ir_triage.yaml||||vgs|['linux']||vgs.txt|||||||||||||
Lists the property information for the given datasets in tabular form.|live_response|storage|zfs.yaml|command|full.yaml, ir_triage.yaml||||zfs list -o name,avail,used,usedsnap,usedds,usedrefreserv,usedchild,sharenfs,mountpoint|['aix', 'freebsd', 'linux', 'macos', 'netbsd', 'netscaler', 'openbsd', 'solaris']||zfs_list.txt|||||||||||||
Lists all pools along with a health status and space usage.|live_response|storage|zpool.yaml|command|full.yaml, ir_triage.yaml||||zpool list|['aix', 'freebsd', 'linux', 'macos', 'netbsd', 'netscaler', 'openbsd', 'solaris']||zpool_list.txt|||||||||||||
Displays the detailed health status for all available pools.|live_response|storage|zpool.yaml|command|full.yaml, ir_triage.yaml||||zpool status -v|['aix', 'freebsd', 'linux', 'macos', 'netbsd', 'netscaler', 'openbsd', 'solaris']||zpool_status_-v.txt|||||||||||||
Display kernel's audit rules.|live_response|system|auditctl.yaml|command|full.yaml, ir_triage.yaml||||auditctl -l|['linux']||auditctl_-l.txt|||||||||||||
Display the kernel's audit subsystem status.|live_response|system|auditctl.yaml|command|full.yaml, ir_triage.yaml||||auditctl -s|['linux']||auditctl_-s.txt|||||||||||||
Display a list of all services and their current configuration.|live_response|system|chkconfig.yaml|command|full.yaml, ir_triage.yaml||||chkconfig --list|['linux']||chkconfig_--list.txt|||||||||||||
Displays configuration information.|live_response|system|crle.yaml|command|full.yaml, ir_triage.yaml||||crle|['solaris']||crle.txt|||||||||||||
Display the System Integrity Protection (SIP) status.|live_response|system|csrutil.yaml|command|full.yaml, ir_triage.yaml||||csrutil status|['macos']||csrutil_status.txt|||||||||||||
Display the system date and time.|live_response|system|date.yaml|command|full.yaml, ir_triage.yaml||||date|['all']||date.txt|||||||||||||
Display the values of parameters in the EEPROM.|live_response|system|eeprom.yaml|command|full.yaml, ir_triage.yaml||||eeprom|['solaris']||eeprom.txt|||||||||||||
Display environment variables.|live_response|system|env.yaml|command|full.yaml, ir_triage.yaml||||env|['all']||env.txt|||||||||||||
Display a report of logged errors.|live_response|system|errpt.yaml|command|full.yaml, ir_triage.yaml||||errpt -a|['aix']||errpt_-a.txt|||||||||||||
List the VMkernel modules that the system knows about.|live_response|system|esxcli.yaml|command|full.yaml, ir_triage.yaml||||esxcli system module list|['esxi']||esxcli_system_module_list.txt|||||||||||||
List the enforcement level for each domain.|live_response|system|esxcli.yaml|command|full.yaml, ir_triage.yaml||||esxcli system secpolicy domain list|['esxi']||esxcli_system_secpolicy_domain_list.txt|||||||||||||
Get FIPS140 mode of ssh.|live_response|system|esxcli.yaml|command|full.yaml, ir_triage.yaml||||esxcli system security fips140 ssh get|['esxi']||esxcli_system_security_fips140_ssh_get.txt|||||||||||||
Get FIPS140 mode of rhttpproxy.|live_response|system|esxcli.yaml|command|full.yaml, ir_triage.yaml||||esxcli system security fips140 rhttpproxy get|['esxi']||esxcli_system_security_fips140_rhttpproxy_get.txt|||||||||||||
List the advanced options available from the VMkernel.|live_response|system|esxcli.yaml|command|full.yaml, ir_triage.yaml||||esxcli system settings advanced list|['esxi']||esxcli_system_settings_advanced_list.txt|||||||||||||
List VMkernel kernel settings.|live_response|system|esxcli.yaml|command|full.yaml, ir_triage.yaml||||esxcli system settings kernel list|['esxi']||esxcli_system_settings_kernel_list.txt|||||||||||||
Display the date and time when this system was first installed. Value will not change on subsequent updates.|live_response|system|esxcli.yaml|command|full.yaml, ir_triage.yaml||||esxcli system stats installtime get|['esxi']||esxcli_system_stats_installtime_get.txt|||||||||||||
Show the current global syslog configuration values.|live_response|system|esxcli.yaml|command|full.yaml, ir_triage.yaml||||esxcli system syslog config get|['esxi']||esxcli_system_syslog_config_get.txt|||||||||||||
Show the currently configured sub-loggers.|live_response|system|esxcli.yaml|command|full.yaml, ir_triage.yaml||||esxcli system syslog config logger list|['esxi']||esxcli_system_syslog_config_logger_list.txt|||||||||||||
Display WBEM Agent configuration.|live_response|system|esxcli.yaml|command|full.yaml, ir_triage.yaml||||esxcli system wbem get|['esxi']||esxcli_system_wbem_get.txt|||||||||||||
List local user accounts.|live_response|system|esxcli.yaml|command|full.yaml, ir_triage.yaml||||esxcli system account list|['esxi']||esxcli_system_account_list.txt|||||||||||||
Display the current system clock parameters.|live_response|system|esxcli.yaml|command|full.yaml, ir_triage.yaml||||esxcli system clock get|['esxi']||esxcli_system_clock_get.txt|||||||||||||
List permissions defined on the host.|live_response|system|esxcli.yaml|command|full.yaml, ir_triage.yaml||||esxcli system permission list|['esxi']||esxcli_system_permission_list.txt|||||||||||||
Display the product name, version and build information.|live_response|system|esxcli.yaml|command|full.yaml, ir_triage.yaml||||esxcli system version get|['esxi']||esxcli_system_version_get.txt|||||||||||||
Display the AgentId|live_response|system|falconctl.yaml|command|full.yaml, ir_triage.yaml||||/opt/CrowdStrike/falconctl -g --aid|['linux']||falconctl_-g_--aid.txt|||||||||||||
Display the CustomerId|live_response|system|falconctl.yaml|command|full.yaml, ir_triage.yaml||||/opt/CrowdStrike/falconctl -g --cid|['linux']||falconctl_-g_--cid.txt|||||||||||||
Display configured sensor feature flags.|live_response|system|falconctl.yaml|command|full.yaml, ir_triage.yaml||||/opt/CrowdStrike/falconctl -g --feature|['linux']||falconctl_-g_--feature.txt|||||||||||||
Display configured trace level.|live_response|system|falconctl.yaml|command|full.yaml, ir_triage.yaml||||/opt/CrowdStrike/falconctl -g --trace|['linux']||falconctl_-g_--trace.txt|||||||||||||
Display if sensor is in Reduced Functionality Mode.|live_response|system|falconctl.yaml|command|full.yaml, ir_triage.yaml||||/opt/CrowdStrike/falconctl -g --rfm-state|['linux']||falconctl_-g_--rfm-state.txt|||||||||||||
Display the reason for sensor running in Reduced Functionality Mode.|live_response|system|falconctl.yaml|command|full.yaml, ir_triage.yaml||||/opt/CrowdStrike/falconctl -g --rfm-reason|['linux']||falconctl_-g_--rfm-reason.txt|||||||||||||
Display the currently running sensor version.|live_response|system|falconctl.yaml|command|full.yaml, ir_triage.yaml||||/opt/CrowdStrike/falconctl -g --version|['linux']||falconctl_-g_--version.txt|||||||||||||
Display sensor health information.|live_response|system|falconctl.yaml|command|full.yaml, ir_triage.yaml||||/opt/CrowdStrike/falconctl stats|['linux']||falconctl_stats.txt|||||||||||||
Display the AgentId|live_response|system|falconctl.yaml|command|full.yaml, ir_triage.yaml||||/Applications/Falcon.app/Contents/Resources/falconctl -g --aid|['macos']||falconctl_-g_--aid.txt|||||||||||||
Display the CustomerId|live_response|system|falconctl.yaml|command|full.yaml, ir_triage.yaml||||/Applications/Falcon.app/Contents/Resources/falconctl -g --cid|['macos']||falconctl_-g_--cid.txt|||||||||||||
Display configured sensor feature flags.|live_response|system|falconctl.yaml|command|full.yaml, ir_triage.yaml||||/Applications/Falcon.app/Contents/Resources/falconctl -g --feature|['macos']||falconctl_-g_--feature.txt|||||||||||||
Display configured trace level.|live_response|system|falconctl.yaml|command|full.yaml, ir_triage.yaml||||/Applications/Falcon.app/Contents/Resources/falconctl -g --trace|['macos']||falconctl_-g_--trace.txt|||||||||||||
Display if sensor is in Reduced Functionality Mode.|live_response|system|falconctl.yaml|command|full.yaml, ir_triage.yaml||||/Applications/Falcon.app/Contents/Resources/falconctl -g --rfm-state|['macos']||falconctl_-g_--rfm-state.txt|||||||||||||
Display the reason for sensor running in Reduced Functionality Mode.|live_response|system|falconctl.yaml|command|full.yaml, ir_triage.yaml||||/Applications/Falcon.app/Contents/Resources/falconctl -g --rfm-reason|['macos']||falconctl_-g_--rfm-reason.txt|||||||||||||
Display sensor health information.|live_response|system|falconctl.yaml|command|full.yaml, ir_triage.yaml||||/Applications/Falcon.app/Contents/Resources/falconctl stats|['macos']||falconctl_stats.txt|||||||||||||
Display amount of free and used memory in the system.|live_response|system|free.yaml|command|full.yaml, ir_triage.yaml||||free|['android', 'linux']||free.txt|||||||||||||
Display the list of kernel extensions currently loaded onto the system and displays the address, size, and path name for each kernel extension in the list.|live_response|system|genkex.yaml|command|full.yaml, ir_triage.yaml||||genkex|['aix']||genkex.txt|||||||||||||
Display the current mode of SELinux.|live_response|system|getenforce.yaml|command|full.yaml, ir_triage.yaml||||getenforce|['android', 'linux']||getenforce.txt|||||||||||||
Display all properties and values from Android propery service.|live_response|system|getprop.yaml|command|full.yaml, ir_triage.yaml||||getprop|['android']||getprop.txt|||||||||||||
List all hidden directories outside of user home directory.|live_response|system|hidden_directories.yaml|find|full.yaml, ir_triage.yaml|/||['.*']||['all']||hidden_directories.txt||d|||||||||||['/root', '/home', '/export/home', '/Users']
List all hidden files outside of user home directory.|live_response|system|hidden_files.yaml|find|full.yaml, ir_triage.yaml|/||['.*']||['all']||hidden_files.txt||f|||||||||||['/root', '/home', '/export/home', '/Users']
Display the Hardware Clock time.|live_response|system|hwclock.yaml|command|full.yaml, ir_triage.yaml||||hwclock|['android', 'linux']||hwclock.txt|||||||||||||
Display the name of the instruction set(s) used by the operating system kernel components such as device drivers and STREAMS modules.|live_response|system|isainfo.yaml|command|full.yaml, ir_triage.yaml||||isainfo -v -k|['solaris']||isainfo_-v_-k.txt|||||||||||||
Display status of loaded kernel extensions (kexts).|live_response|system|kextstat.yaml|command|full.yaml, ir_triage.yaml||||kextstat|['macos']||kextstat.txt|||||||||||||
Display status of dynamic kernel linker.|live_response|system|kldstat.yaml|command|full.yaml, ir_triage.yaml||||kldstat -v|['freebsd']||kldstat_-v.txt|||||||||||||
Show a listing of last logins and logouts.|live_response|system|last.yaml|command|full.yaml, ir_triage.yaml||||last|['aix', 'freebsd', 'linux', 'macos', 'netbsd', 'solaris']||last.txt|||||||||||||
Show a listing of last logins and logouts, but prints all available characters of each user name instead of truncating to the first 8 characters.|live_response|system|last.yaml|command|full.yaml, ir_triage.yaml||||last -X|['aix']||last_-X.txt|||||||||||||
Show a listing of last logins and logouts, but displays the host's IP number instead of the name.|live_response|system|last.yaml|command|full.yaml, ir_triage.yaml||||last -i|['linux']||last_-i.txt|||||||||||||
Show a listing of last logins and logouts, but display the hostname in the last column and print full login and logout times and dates.|live_response|system|last.yaml|command|full.yaml, ir_triage.yaml||||last -a -F|['linux']||last_-a_-F.txt|||||||||||||
Show a listing of last logins and logouts, but displays the hostname in the last column.|live_response|system|last.yaml|command|full.yaml, ir_triage.yaml||||last -a|['solaris']||last_-a.txt|||||||||||||
Show a listing of last unsuccessful logins.|live_response|system|lastb.yaml|command|full.yaml, ir_triage.yaml||||lastb|['linux']||lastb.txt|||||||||||||
Show a listing of last unsuccessful logins, but displays the host's IP number instead of the name.|live_response|system|lastb.yaml|command|full.yaml, ir_triage.yaml||||lastb -i|['linux']||lastb_-i.txt|||||||||||||
Show a listing of last unsuccessful logins, but display the hostname in the last column and print full times and dates.|live_response|system|lastb.yaml|command|full.yaml, ir_triage.yaml||||lastb -a -F|['linux']||lastb_-a_-F.txt|||||||||||||
Display the contents of the last login log /var/log/lastlog file.|live_response|system|lastlog.yaml|command|full.yaml, ir_triage.yaml||||lastlog|['linux']||lastlog.txt|||||||||||||
Display all loaded and unloaded jobs into launchd.|live_response|system|launchctl.yaml|command|full.yaml, ir_triage.yaml||||launchctl list|['macos']||launchctl_list.txt|||||||||||||
Show terse runtime status information about one or more logged in users, followed by the most recent log data from the journal.|live_response|system|loginctl.yaml|command|full.yaml, ir_triage.yaml||||loginctl user-status|['linux']||loginctl_user-status.txt|||||||||||||
Display the status of modules in the Linux Kernel.|live_response|system|lsmod.yaml|command|full.yaml, ir_triage.yaml||||lsmod|['android', 'linux']||lsmod.txt|||||||||||||
Displays the characteristics of a paging space.|live_response|system|lsps.yaml|command|full.yaml, ir_triage.yaml||||lsps -a|['aix']||lsps_-a.txt|||||||||||||
Display sensor health.|live_response|system|mdatp.yaml|command|full.yaml, ir_triage.yaml||||mdatp health|['linux']||mdatp_health.txt|||||||||||||
Display all antivirus exclusions.|live_response|system|mdatp.yaml|command|full.yaml, ir_triage.yaml||||mdatp exclusion list|['linux']||mdatp_exclusion_list.txt|||||||||||||
Display all quarantined files.|live_response|system|mdatp.yaml|command|full.yaml, ir_triage.yaml||||mdatp threat quarantine list|['linux']||mdatp_threat_quarantine_list.txt|||||||||||||
Display the full protection history.|live_response|system|mdatp.yaml|command|full.yaml, ir_triage.yaml||||mdatp threat list|['linux']||mdatp_threat_list.txt|||||||||||||
Display information about loaded kernel modules.|live_response|system|modinfo.yaml|command|full.yaml, ir_triage.yaml||||modinfo|['solaris']||modinfo.txt|||||||||||||
Display processor statistics in tabular form.|live_response|system|mpstat.yaml|command|full.yaml, ir_triage.yaml||||mpstat|['solaris']||mpstat.txt|||||||||||||
Display the latest installed level (technology level, maintenance level and service pack) of the system.|live_response|system|oslevel.yaml|command|full.yaml, ir_triage.yaml||||oslevel|['aix']||oslevel.txt|||||||||||||
Display the latest installed level (technology level, maintenance level and service pack) of the system.|live_response|system|oslevel.yaml|command|full.yaml, ir_triage.yaml||||oslevel -r|['aix']||oslevel_-r.txt|||||||||||||
Display the latest installed level (technology level, maintenance level and service pack) of the system.|live_response|system|oslevel.yaml|command|full.yaml, ir_triage.yaml||||oslevel -s|['aix']||oslevel_-s.txt|||||||||||||
Display system diagnostic information.|live_response|system|prtdiag.yaml|command|full.yaml, ir_triage.yaml||||prtdiag -v|['solaris']||prtdiag_-v.txt|||||||||||||
Display previous and current SysV runlevel.|live_response|system|runlevel.yaml|command|full.yaml, ir_triage.yaml||||runlevel|['linux']||runlevel.txt|||||||||||||
Display System V services status information.|live_response|system|service.yaml|command|full.yaml, ir_triage.yaml||||service --status-all|['linux']||service_--status-all.txt|||||||||||||
Display service names and their package names.|live_response|system|service.yaml|command|full.yaml, ir_triage.yaml||||service list|['android']||service_list.txt|||||||||||||
Display the contexts of files and processes listed in the /etc/sestatus.conf file.|live_response|system|sestatus.yaml|command|full.yaml, ir_triage.yaml||||sestatus -v|['linux']||sestatus_-v.txt|||||||||||||
Search for files that have SGID bit set.|live_response|system|sgid.yaml|find|full.yaml, ir_triage.yaml|/|['proc', 'procfs']|||['all']|5.0|sgid.txt||f|||||-2000.0||||||
Display machine and software revision information.|live_response|system|showrev.yaml|command|full.yaml, ir_triage.yaml||||showrev|['solaris']||showrev.txt|||||||||||||
Display machine and software revision information.|live_response|system|showrev.yaml|command|full.yaml, ir_triage.yaml||||showrev -p|['solaris']||showrev_-p.txt|||||||||||||
List all socket files.|live_response|system|socket_files.yaml|find|full.yaml, ir_triage.yaml|/|['proc', 'procfs']|||['all']||socket_files.txt||s|||||||||||
Search for files that have SUID bit set.|live_response|system|suid.yaml|find|full.yaml, ir_triage.yaml|/|['proc', 'procfs']|||['all']|5.0|suid.txt||f|||||-4000.0||||||
Display information about service instances as recorded in the service configuration repository.|live_response|system|svcs.yaml|command|full.yaml, ir_triage.yaml||||svcs -a|['solaris']||svcs_-a.txt|||||||||||||
Display explanations for service states.|live_response|system|svcs.yaml|command|full.yaml, ir_triage.yaml||||svcs -x -v|['solaris']||svcs_-x_-v.txt|||||||||||||
List the devices making upsystem swap.|live_response|system|swapctl.yaml|command|full.yaml, ir_triage.yaml||||swapctl -l|['freebsd', 'netbsd', 'netscaler', 'openbsd']||swapctl_-l.txt|||||||||||||
Display system data structures.|live_response|system|swapinfo.yaml|command|full.yaml, ir_triage.yaml||||swapinfo|['freebsd', 'netscaler']||swapinfo.txt|||||||||||||
Display macOS operating system version.|live_response|system|sw_vers.yaml|command|full.yaml, ir_triage.yaml||||sw_vers|['macos']||sw_vers.txt|||||||||||||
Display kernel parameters.|live_response|system|sysctl.yaml|command|full.yaml, ir_triage.yaml||||sysctl -a|['android', 'freebsd', 'linux', 'macos', 'netbsd', 'netscaler', 'openbsd']||sysctl_-a.txt|||||||||||||
Display all hardware devices, as well as pseudo devices, system devices, loadable modules, and the values of selected kernel tunable parameters.|live_response|system|sysdef.yaml|command|full.yaml, ir_triage.yaml||||sysdef -D|['solaris']||sysdef_-D.txt|||||||||||||
Display all systemd system units.|live_response|system|systemctl.yaml|command|full.yaml, ir_triage.yaml||||systemctl list-units|['linux']||systemctl_list-units.txt|||||||||||||
Display timer units currently in memory, ordered by the time they elapse next.|live_response|system|systemctl.yaml|command|full.yaml, ir_triage.yaml||||systemctl list-timers --all|['linux']||systemctl_list-timers_--all.txt|||||||||||||
Display unit files installed on the system, in combination with their enablement state (as reported by is-enabled).|live_response|system|systemctl.yaml|command|full.yaml, ir_triage.yaml||||systemctl list-unit-files|['linux']||systemctl_list-unit-files.txt|||||||||||||
Reports system hardware and software configuration.|live_response|system|system_profiler.yaml|command|full.yaml, ir_triage.yaml||||system_profiler|['macos']||system_profiler.txt|||||||||||||
List loaded kernel modules.|live_response|system|sys_modules.yaml|command|full.yaml, ir_triage.yaml||||ls -l -a /sys/module|['linux']||ls_-l_-a_sys_module.txt|||||||||||||
List loaded kernel modules.|live_response|system|sys_modules.yaml|command|full.yaml, ir_triage.yaml||||ls -l -a -R /sys/module|['linux']||ls_-l_-a_-R_sys_module.txt|||||||||||||
Display the current settings of the system clock and RTC, including whether network time synchronization is active.|live_response|system|timedatectl.yaml|command|full.yaml, ir_triage.yaml||||timedatectl status|['linux']||timedatectl_status.txt|||||||||||||
Print paths for all of this computer's completed snapshots.|live_response|system|tmutil.yaml|command|full.yaml, ir_triage.yaml||||tmutil listbackups|['macos']||tmutil_listbackups.txt|||||||||||||
Print the path to the current machine directory for this computer.|live_response|system|tmutil.yaml|command|full.yaml, ir_triage.yaml||||tmutil machinedirectory|['macos']||tmutil_machinedirectory.txt|||||||||||||
List local Time Machine snapshots of the specified volume.|live_response|system|tmutil.yaml|command|full.yaml, ir_triage.yaml||||tmutil listlocalsnapshots %mount_point%|['macos']||tmutil_listlocalsnapshots.txt|||||||||||||
List the creation dates of all local Time Machine snapshots.|live_response|system|tmutil.yaml|command|full.yaml, ir_triage.yaml||||tmutil listlocalsnapshotdates %mount_point%|['macos']||tmutil_listlocalsnapshotdates.txt|||||||||||||
Display system information.|live_response|system|uname.yaml|command|full.yaml, ir_triage.yaml||||uname -a|['all']||uname_-a.txt|||||||||||||
Display LPAR number and LPAR name.|live_response|system|uname.yaml|command|full.yaml, ir_triage.yaml||||uname -L|['aix']||uname_-L.txt|||||||||||||
Display how long system has been running.|live_response|system|uptime.yaml|command|full.yaml, ir_triage.yaml||||uptime|['all']||uptime.txt|||||||||||||
Display how long system has been running in yyyy-mm-dd HH:MM:SS format.|live_response|system|uptime.yaml|command|full.yaml, ir_triage.yaml||||uptime -s|['all']||uptime_-s.txt|||||||||||||
Display virtual memory statistics.|live_response|system|vmstat.yaml|command|full.yaml, ir_triage.yaml||||vmstat|['android', 'aix', 'freebsd', 'linux', 'netbsd', 'netscaler', 'openbsd', 'solaris']||vmstat.txt|||||||||||||
Display virtual memory statistics.|live_response|system|vm_stat.yaml|command|full.yaml, ir_triage.yaml||||vm_stat|['macos']||vm_stat.txt|||||||||||||
Display the current run-level of the process.|live_response|system|who.yaml|command|full.yaml, ir_triage.yaml||||who -r|['aix']||who_-r.txt|||||||||||||
Show failed login attempts.|live_response|system|who.yaml|command|full.yaml, ir_triage.yaml||||who %mount_point%/etc/security/failedlogin|['aix']||who_etc_security_failedlogin.txt|||||||||||||
Show who is logged on.|live_response|system|who.yaml|command|full.yaml, ir_triage.yaml||||who -T|['all']||who_-T.txt|||||||||||||
List all world writable directories.|live_response|system|world_writable_directories.yaml|find|full.yaml, ir_triage.yaml|/|['proc', 'procfs']|||['all']||world_writable_directories.txt||d|||||777.0||||||
List all world writable files.|live_response|system|world_writable_files.yaml|find|full.yaml, ir_triage.yaml|/|['proc', 'procfs']|||['all']||world_writable_files.txt||f|||||777.0||||||
Display all installed zones. A zone is an application container that is maintained by the operating system run-time.|live_response|system|zoneadm.yaml|command|full.yaml, ir_triage.yaml||||zoneadm list -i -v|['solaris']||zoneadm_list_-i_-v.txt|||||||||||||
List networking information for the VM's that have active ports.|live_response|vms|esxcli.yaml|command|full.yaml, ir_triage.yaml||||esxcli network vm list|['esxi']||esxcli_network_vm_list.txt|||||||||||||
List the virtual machines on this system. This command currently will only list running VMs on the system.|live_response|vms|esxcli.yaml|command|full.yaml, ir_triage.yaml||||esxcli vm process list|['esxi']||esxcli_vm_process_list.txt|||||||||||||
Get the list of virtual machines on the host.|live_response|vms|vim-cmd.yaml|command|full.yaml, ir_triage.yaml||||vim-cmd vmsvc/getallvms|['esxi']||vim-cmd_vmsvc_getallvms.txt|||||||||||||
Retrieves and displays the listsummary status from the vm.|live_response|vms|vim-cmd.yaml|command|full.yaml, ir_triage.yaml||||vim-cmd vmsvc/get.summary %line%|['esxi']||vim-cmd_vmsvc_get.summary_%line%.txt|||||||||"vim-cmd vmsvc/getallvms | tail -1 | awk '{print $1}'"||||
Retrieves and displays the configuration object for the vm.|live_response|vms|vim-cmd.yaml|command|full.yaml, ir_triage.yaml||||vim-cmd vmsvc/get.config %line%|['esxi']||vim-cmd_vmsvc_get.config_%line%.txt|||||||||"vim-cmd vmsvc/getallvms | tail -1 | awk '{print $1}'"||||
Retrieves and displays the virtual devices for the vm.|live_response|vms|vim-cmd.yaml|command|full.yaml, ir_triage.yaml||||vim-cmd vmsvc/device.getdevices %line%|['esxi']||vim-cmd_vmsvc_device.getdevices_%line%.txt|||||||||"vim-cmd vmsvc/getallvms | tail -1 | awk '{print $1}'"||||
|live_response|vms|vim-cmd.yaml|command|full.yaml, ir_triage.yaml||||vim-cmd vmsvc/get.datastores %line%|['esxi']||vim-cmd_vmsvc_get.datastores_%line%.txt|||||||||"vim-cmd vmsvc/getallvms | tail -1 | awk '{print $1}'"||||
|live_response|vms|vim-cmd.yaml|command|full.yaml, ir_triage.yaml||||vim-cmd vmsvc/get.networks %line%|['esxi']||vim-cmd_vmsvc_get.networks_%line%.txt|||||||||"vim-cmd vmsvc/getallvms | tail -1 | awk '{print $1}'"||||
List active and inactive domains.|live_response|vms|virsh.yaml|command|full.yaml, ir_triage.yaml||||virsh list --all|['linux']||virsh_list_--all.txt|||||||||||||
